,Título,Link
54,Curso Python #05 - Instalando o PyCharm e o QPython3,https://www.youtube.com/watch?v=fE-QYIANtyo
55,Curso Python 01 - Introdução - Aprenda Programar do ZERO | Prime Cursos Grátis,https://www.youtube.com/watch?v=ZEsQGh3OOoo
56,Exercício de programação com Python - #1,https://www.youtube.com/watch?v=xJnYDsMCNyQ
57,Descobri uma nova plataforma para aprender Python que é impressionante!,https://www.youtube.com/watch?v=ElRd0cbXIv4
58,Revisão de Informática para PF e PCDF - Programação Python e R - Prof. Rani Passos,https://www.youtube.com/watch?v=tV1kT3cOCqU
59,Curso Python #06 - Tipos Primitivos e Saída de Dados,https://www.youtube.com/watch?v=slGNiAspa2U
60,Deixe suas funções mais RÁPIDAS com PYTHON #Shorts,https://www.youtube.com/watch?v=oIwZp65Nxbk
61,Curso Python #07 - Operadores Aritméticos,https://www.youtube.com/watch?v=bAYmvAlpGB8
62,Introdução a Análise de Dados com Python - [Primeiros Passos],https://www.youtube.com/watch?v=hdDHg1p3YVc
63,Algoritmos e Programação de Computadores I - Sobre Python,https://www.youtube.com/shorts/UnfmQwwSbVo
64,Programação de Redes com Python - Introdução ao Módulo socket,https://www.youtube.com/watch?v=Vw6gLypRKmY
65,Aula 1 - Introdução ao Python e Preparando o ambiente - Python Básico Solyd,https://www.youtube.com/watch?v=bHn91RxiTjY&list=PLyqOvdQmGdTSEPnO0DKgHlkXb8x3cyglD
66,GABRIEL PATO - QUAL A MELHOR LINGUAGEM DE PROGRAMAÇÃO PARA SER HACKER ? | FLOW NA VEIA,https://www.youtube.com/watch?v=kCMaqla6Grs
67,Python // Dicionário do Programador,https://www.youtube.com/watch?v=sBZUFk243n4
68,Como Transformar Arquivo Python em Executável - [Arquivo Executável],https://www.youtube.com/watch?v=v3zVT4HJxYI
69,"Javascript, Python, PHP? Por qual linguagem de programação começar?",https://www.youtube.com/watch?v=uEEuSYkM9o4
70,Qual a importância de aprender a programar ? - Curso de Python com Arduino - Aula 01,https://www.youtube.com/watch?v=znuVJ7lwoxs
71,Reconhecimento de Fala em Python com 10 Linhas de Código,https://www.youtube.com/watch?v=uOgDa1rlqjE
72,Aulão Policial: Tudo sobre Programação Python com Prof. Jósis Alves,https://www.youtube.com/watch?v=cGSerUmK0CE
73,Python nas Estrelas: Astronomia e Programação,https://www.youtube.com/watch?v=Hxk3XmK_WU4
74,Python para Iniciantes do Zero!,https://www.youtube.com/watch?v=vLuzO_vJrW4
75,Python Como Primeira Linguagem de Programação?,https://www.youtube.com/watch?v=fMyzSrDoT-E
76,programação python: como criar uma janela e um botão,https://www.youtube.com/watch?v=j94IGZmwtYI&list=PLesCEcYj003QxPQ4vTXkt22-E11aQvoVj
77,Aula #02 - Introdução à Programação [Python...para quem está começando],https://www.youtube.com/watch?v=DPdRpwfNgeE
78,3 Formas de GANHAR Dinheiro Com Python | ANTES de ser Contratado,https://www.youtube.com/watch?v=L0wYU4QmIKg
79,O que são Sets (Conjuntos) - Curso de Programação com Python,https://www.youtube.com/watch?v=pGtESkyGv4U
80,Paradigmas da Linguagem de Programação - Python,https://www.youtube.com/watch?v=DHAmtgNJ4Dk
81,Dá Para Trabalhar SÓ com PYTHON em 2022?,https://www.youtube.com/watch?v=PEbPxdYSJnM
82,Como usar o PYTHON no Celular ? EXCELENTE APLICATIVO DE PROGRAMAÇÃO EM PYTHON,https://www.youtube.com/watch?v=X6XOoLw5QMU
83,Como Criar um Bot com Python - Utilizando Pyautogui e Selenium,https://www.youtube.com/watch?v=aH6rL0M4d4k
84,Lógica de Programação | Quando usar Funções VS Classes VS Módulos em Python,https://www.youtube.com/watch?v=7zLXR8Zj9EM
85,Curso Python - Aula 01 | #Programando pelo celular.,https://www.youtube.com/watch?v=TdbHoiIGb7w
86,Como Saber seu Nível de Python e os Conhecimentos Necessários para cada Nível,https://www.youtube.com/watch?v=5i5Cnz0rie0
87,O jeito fácil e rápido de instalar o Python no seu computador,https://www.youtube.com/watch?v=qdsbwjevSUE
88,Curso Python #09 - Manipulando Texto,https://www.youtube.com/watch?v=pZ6EqsHskM8
89,FUNÇÕES em PYTHON | Introdução à Programação #12,https://www.youtube.com/watch?v=iTYUCcHy0r8
90,"O que Significa if __name__ == ""__main__"" no Python?",https://www.youtube.com/watch?v=B_6muiTSBvc
91,O que São e Como Usar Tuplas no Python?,https://www.youtube.com/watch?v=sBYkuvMVX_Y
92,Curso Python #013 - Estrutura de repetição for,https://www.youtube.com/watch?v=hQayuyeEMy0
93,"CURSOS DE PROGRAMAÇÃO PARA INICIANTES GRATUITOS E ONLINE (JAVA, PHP, PYTHON, ENTRE OUTROS) 👨‍💻",https://www.youtube.com/watch?v=a7DH88vk2Sk
94,Como gravar arquivos binários - Programação Python - s02e12,https://www.youtube.com/watch?v=7hJntZxux0M
95,1 - Programação em Python para o Blender - Bmesh Simple,https://www.youtube.com/watch?v=150-dpYG1pg
96,Como Criar um Bot de Telegram com Python,https://www.youtube.com/watch?v=6PACWNWEaJ8
97,Python - Programação linear: resolução de um problema,https://www.youtube.com/watch?v=cL4YDtFnCt4
98,Curso Lógica de Programação Completo 2021 [Iniciantes] + Desafios + Muita prática,https://www.youtube.com/watch?v=nIHq1MtJaKs&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-
99,Livros de Python (Os 6 MELHORES Livros para aprender Python),https://www.youtube.com/watch?v=yNjRgvHfWHc
100,Simulado de questões Python e R para PCDF: Informática Forte Aula 01,https://www.youtube.com/watch?v=zJG-6ImsSD8
101,Curso Python #23 - Tratamento de Erros e Exceções,https://www.youtube.com/watch?v=U1ELrkz5CA4
102,Classes - Python Orientado a Objetos - Aula 35,https://www.youtube.com/watch?v=_RQw5Nw7Op0
103,DJANGO (O Python na Web) // Dicionário do Programador,https://www.youtube.com/watch?v=SvItgIMSRm0
104,Algoritmos e Programação de Computadores I - Programas em Python,https://www.youtube.com/watch?v=iF2MdbrTiBM
105,🐍 Curso de Python Grátis 🐍 TOP 5 (2022),https://www.youtube.com/watch?v=Sfy4g8YaTnA
106,Curso Programação - Sistema de vendas em python tkinter - 01,https://www.youtube.com/watch?v=dVc1F_EPNvw
107,Python para Crianças - Aula 1,https://www.youtube.com/watch?v=xz2B3bfNjEk
108,Como Programar em Python Online (Google Colab) - Sem Instalar no Computador,https://www.youtube.com/watch?v=RLVbB91A5-8
109,Características da linguagem Python - Programação Python s01e01,https://www.youtube.com/watch?v=ao8pCrRqKOs
110,Programação Python ajudando nas análises de Geociências,https://www.youtube.com/watch?v=BZ3O39957Oc
111,Recursividade em Python (parte 1) - Programação Python - s02e06,https://www.youtube.com/watch?v=waFV0vDntSY
112,Exercício Python #001 - Deixando tudo pronto,https://www.youtube.com/watch?v=xpNSQh3wIH4
113,Exercício de logica de programação com Python #shorts,https://www.youtube.com/watch?v=DLyzcGYHVpQ
114,Consumindo dados da API do YOUTUBE com Python | Python na Prática #11,https://www.youtube.com/watch?v=5zr9HWWs8nI
115,Descobrindo as Senhas de Wi-Fi salvas com Python,https://www.youtube.com/watch?v=BR2Z-yhNwfw
116,Como Criar QRCode e Código de Barra em Python,https://www.youtube.com/watch?v=A14Pa3T35JY
117,"Como Ler, Editar e Criar Arquivos de Texto com Python - [Trabalhando com Textos no Python]",https://www.youtube.com/watch?v=KuUEDkfQyzk
118,6 Carreiras para você trabalhar com Python,https://www.youtube.com/watch?v=nIHq1MtJaKs
119,Programe pelo celular - Programação com Python no Android | QPython3,https://www.youtube.com/shorts/MGzWy7aPySE
120,Como Trabalhar com Arquivos CSV no Python,https://www.youtube.com/watch?v=olDCJ1w3FLM
121,Como Ler Textos Dentro de Imagens com Python [Introdução ao OpenCV e Tesseract],https://www.youtube.com/watch?v=aF8JrbqmqYM
122,Como programar mais escrevendo menos código (PYTHON TUTORIAL #33),https://www.youtube.com/watch?v=4mjc5vyxD8E
123,Python SEM ERRO de Instalação com Anaconda | Handshake #14,https://www.youtube.com/watch?v=AvUG8wZMh_E
124,O que São e Como Funcionam os Ambientes Virtuais no Python,https://www.youtube.com/watch?v=XiTdbuXCMM4
125,Programando um BOT em Python para o Instagram - Estrutura de pacotes - [EP1],https://www.youtube.com/watch?v=ZHn3bbdVDgc
126,Python x Java: Qual é a melhor linguagem de programação?,https://www.youtube.com/watch?v=AnJPtKLtc7o
127,Dá para criar APLICATIVOS no PYTHON ?,https://www.youtube.com/watch?v=Wx3SyNwZtsA
128,Prática com Python - Exercício 01 - Lógica de Programação em Python,https://www.youtube.com/watch?v=HvujkZ9twtM
129,"Map no Python - Como Funciona, para que Serve e Aplicação Prática no Python",https://www.youtube.com/watch?v=RQnwrOX18mE
130,Como Construir uma Ferramenta de Cadastro no Python,https://www.youtube.com/watch?v=stEvUVvYD00
131,NOÇÕES DE PROGRAMAÇÃO PYTHON,https://www.youtube.com/watch?v=FoqAYHn565w
132,Automação com Python - Como Enviar E-mail Utilizando Python,https://www.youtube.com/watch?v=wkVF__Ges-I
133,Curso de programação em Python - Aula 01,https://www.youtube.com/watch?v=N2j6PZNqz0g
134,Programação Python: 6 Ferramentas IMPORTANTES Que Você Deveria Conhecer,https://www.youtube.com/watch?v=GjP2_Xej6b4
135,Trabalhando com TEMPO no Python - Biblioteca Datetime,https://www.youtube.com/watch?v=GEciIuxcWkg
136,COMO PROGRAMAR EM PYTHON NO CELULAR,https://www.youtube.com/watch?v=TXlkiMIBlTM
137,Exemplo Programa - Python,https://www.youtube.com/watch?v=P7k0B6oPfJo
138,Como fazer jogos em Python! Curso Pygame #11 - Programação Orientada a Objetos (POO),https://www.youtube.com/watch?v=P5z_1IUlcS0
139,PYTHON PARA INVESTIMENTOS #1: cotações do Yahoo Finance com GOOGLE COLAB | Finanças e Programação,https://www.youtube.com/watch?v=vjc8VUT1-Gw
140,Try e Except no Python - Tratamento de Erros no Python,https://www.youtube.com/watch?v=1cLLKqCFsNc
141,COMO É SER E O QUE FAZ UM PROGRAMADOR PYTHON - CURSO DE PROGRAMAÇÃO PYTHON,https://www.youtube.com/watch?v=eBYSjP4vf_w
142,Como Trabalhar com Dicionários em Python - (Exemplos Práticos),https://www.youtube.com/watch?v=ofBIbK2eTIk
143,Como Criar Uma Tela Em Python c/ PySimpleGUI [Fácil],https://www.youtube.com/watch?v=eTKB6of96GQ
144,"Biblioteca Requests no Python [Métodos GET, POST, PATCH e DELETE]",https://www.youtube.com/watch?v=aAQPHdoOzTc
145,SINTETIZANDO Imagens com Python | Processamento de Imagens #2,https://www.youtube.com/watch?v=7GGrt3-rRH8
146,mysql e python #1 - Criando o banco de dados,https://www.youtube.com/watch?v=h01u7A3lWZY
147,"Microsoft lança a “AcademIA”: cursos grátis de Programação, Inteligência Artificial, Python, etc.",https://www.youtube.com/watch?v=Oj90i5TRbL0
148,MELHOR FORMA DE APRENDER PYTHON (Google Colab Notebook),https://www.youtube.com/watch?v=YwENuegbpEM
149,Os 5 Melhores Livros de Python Para Programadores,https://www.youtube.com/watch?v=UnfmxnFpfdM
150,Como BAIXAR Vários ARQUIVOS com PYTHON | Python na Prática #02,https://www.youtube.com/watch?v=IdviYZIQLlA
151,Alura: Curso de Django: programação web com Python e simplicidade - Aula 1,https://www.youtube.com/watch?v=kb8S06dpZiM
152,Múltiplas Janelas no Tkinter - Interface Gráfica no Python,https://www.youtube.com/watch?v=sO-HDU3XqbQ
153,Python - Paradigmas de Linguagem de Programação,https://www.youtube.com/watch?v=CGAHVh3KUKM
154,Como Rodar Código em Paralelo no Python - Como Acelerar o seu Código,https://www.youtube.com/watch?v=Gojqw9BQ5qY
155,Como Abrir e Fechar Arquivos no Python com a Estrutura With,https://www.youtube.com/watch?v=1ru7dwsBgiY
156,Curso Programação - Curso De Python Que Todos Devem De Fazer - 01,https://www.youtube.com/watch?v=qx2LGtKzjxk
157,Operadores e Comandos Básicos - Programação em Python,https://www.youtube.com/watch?v=-B6xlqTSYtw
158,Analise DADOS do Google Sheets com Python usando Google COLAB | Python na Prática #5,https://www.youtube.com/watch?v=-vk1hE8KPtM
